Sr. No.,Company,BSE Code
567,PRIVI SPECIALITY CHEMICALS LIMITED,530117
568,Kirloskar Ferrous Industries Ltd.,500245
569,Mrs. Bectors Food Specialities Limited,543253
570,BlueStone Jewellery and Lifestyle Limited,544484
571,Arvind Ltd.,500101
572,Transrail Lighting Limited,544317
573,PC JEWELLER LIMITED,534809
574,TTK Prestige Ltd.,517506
575,Transport Corporation of India Ltd,532349
576,BlackBuck Limited,544288
577,Ujjivan Small Finance Bank Limited,542904
578,Oswal Pumps Limited,544418
579,Elantas Beck India Ltd,500123
580,KRBL Ltd.,530813
581,Praj Industries Ltd.,522205
582,Happy Forgings Limited,544057
583,GARWARE TECHNICAL FIBRES LIMITED,509557
584,Latent View Analytics Limited,543398
585,Galaxy Surfactants Limited,540935
586,Triveni Engineering & Industries Ltd,532356
587,VOLTAMP TRANSFORMERS LIMITED,532757
588,Shaily Engineering Plastics Ltd.,501423
589,LLOYDS ENGINEERING WORKS LIMITED,539992
590,Kirloskar Pneumatic Co.Ltd.,505283
591,HealthCare Global Enterprises Limited,539787
592,GMR Power and Urban Infra Limited,543490
593,Rashtriya Chemicals & Fertilizers Limited,524230
594,Nesco Ltd,505355
595,Kalpataru Limited,544423
596,GARWARE HI-TECH FILMS LIMITED,500655
597,Campus Activewear Limited,543523
598,Cera Sanitaryware Ltd.,532443
599,ISGEC Heavy Engineering Limited,533033
600,TANLA PLATFORMS LIMITED,532790
601,Manorama Industries Limited,541974
602,Akums Drugs and Pharmaceuticals Limited,544222
603,Varroc Engineering Limited,541578
604,Network 18 Media & Investments Limited,532798
605,Banco Products (India) Ltd.,500039
606,TIPS MUSIC LIMITED,532375
607,Le Travenues Technology Limited,544192
608,GANESH HOUSING LIMITED,526367
609,Sansera Engineering Limited,543358
610,BLACK BOX LIMITED,500463
611,Gujarat State Fertilizers & Chem.Ltd,500690
612,Shilpa Medicare Ltd.,530549
613,Archean Chemical Industries Limited,543657
614,Religare Enterprises Ltd,532915
615,Epigral Limited,543332
616,Esab India Ltd.,500133
617,Dodla Dairy Limited,543306
618,P N GADGIL JEWELLERS LIMITED,544256
619,Aurionpro Solutions Ltd.,532668
620,Aarti Pharmalabs Limited,543748
621,TD Power Systems Ltd,533553
622,Sandur Manganese & Iron Ores Ltd.,504918
623,Gujarat Narmada Valley Fert.Co.Ltd,500670
624,ELLENBARRIE INDUSTRIAL GASES LIMITED,544421
625,CMS Info Systems Limited,543441
626,AJAX Engineering Limited,544356
627,PNC Infratech Limited,539150
628,Symphony Limited,517385
629,Thomas Cook (India) Ltd.,500413
630,REDTAPE Limited,543957
631,Max Estates Limited,544008
632,FDC Ltd.,531599
633,Tilaknagar Industries Ltd,507205
634,Just Dial Limited,535648
635,South Indian Bank Ltd.,532218
636,Sheela Foam Limited,540203
637,STRIDES PHARMA SCIENCE LIMITED,532531
638,PRISM JOHNSON LIMITED.,500338
639,Gujarat Pipavav Port Limited,533248
640,Mastek Limited,523704
641,RATTANINDIA ENTERPRISES LIMITED,534597
642,Keystone Realtors Limited,543669
643,BOROSIL RENEWABLES LIMITED,502219
644,Dilip Buildcon Limited,540047
645,Ion Exchange (India) Ltd,500214
